[2026-05-08 23:46:55] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_AtB | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:00] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_C5u | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:05] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_DLR | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:10] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_EZt | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:15] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_FoP | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:20] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_H0m | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:25] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_IFK | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:30] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_JU6 | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:35] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_KiY | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:40] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_Lx7 | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:45] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_N9W | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:50] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_OP0 | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:47:55] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_Pda | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:00] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_Qry | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:01] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /rest/user/whoami?fields=email | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:01] BLOCKED | IP: 192.168.11.134 | Method: POST | URI: /rest/user/login | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:01] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /rest/user/whoami | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:05] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_S4C | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:10] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_TIQ | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:14] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: / | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:15] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_UWd | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:21] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_W2_ | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:30] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: / | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:44] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: / | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:48:53] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: / | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:50:18] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /search/products?q=UNION%20SELECT | Location: URI | Rule: SQLi-002 (SQL Injection - UNION SELECT) | Payload: UNION SELECT
[2026-05-08 23:50:18] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /favicon.ico | Location: Header:Referer | Rule: SQLi-002 (SQL Injection - UNION SELECT) | Payload: UNION SELECT
